crash_year,hour_of_day,latitude,longitude
2017,17,39 56:38.805,75 09:12.654
2017,8,40 00:30.616,75 05:14.655
2017,14,40 01:53.934,75 12:27.524
2017,19,40 05:40.718,75 00:54.707
2017,0,40 03:42.908,75 14:48.717
2017,13,39 56:07.281,75 09:17.755
2017,16,40 04:39.078,75 02:11.092
2017,20,39 57:32.563,75 13:01.179
2017,9,39 53:51.719,75 11:10.767
2017,17,40 02:29.925,75 04:00.595
2017,1,40 01:49.112,75 08:53.944
2017,15,40 04:43.216,74 59:54.741
2017,2,40 00:48.733,75 12:01.299
2017,18,40 02:20.870,75 06:36.009
2017,19,40 00:40.975,75 06:24.314
2017,1,40 03:41.274,75 03:19.958
2017,19,39 55:15.711,75 13:26.782
2017,9,39 57:06.275,75 09:29.915
2017,3,39 57:16.062,75 12:19.088
2017,2,40 01:20.289,75 09:43.290
2017,19,40 06:10.457,75 02:12.257
2017,99,39 58:09.831,75 09:47.666
2017,99,40 02:08.765,75 04:39.864
2017,1,39 59:42.594,75 07:47.913
2017,13,40 04:26.918,75 09:30.203
2017,14,39 54:46.771,75 09:43.646
2017,19,39 55:08.714,75 13:35.858
2017,16,40 03:32.374,75 04:46.800
2017,19,39 59:05.745,75 12:30.047
2017,16,40 01:02.636,75 02:57.161
2017,21,40 02:27.951,75 05:00.566
2017,0,39 58:55.462,75 12:27.369
2017,12,40 01:47.216,75 06:18.216
2017,17,40 00:01.600,75 08:39.010
2017,17,40 02:42.082,75 05:39.051
2017,2,40 00:48.714,75 09:09.335
2017,14,40 04:12.732,75 03:00.878
2017,14,39 59:09.260,75 08:26.401
2017,6,39 59:29.716,75 11:44.510
2017,19,39 59:04.850,75 09:23.377
2017,18,39 57:28.805,75 09:46.265
2017,6,39 54:59.049,75 13:09.029
2017,0,39 59:45.578,75 08:01.967
2017,10,40 05:38.900,75 00:10.043
2017,10,40 01:28.737,75 12:29.491
2017,21,40 01:56.715,75 13:56.928
2017,21,39 57:30.957,75 10:07.055
2017,14,39 56:41.650,75 08:30.687
2017,99,40 01:48.464,75 02:06.579
2017,10,39 57:10.537,75 14:00.574
2017,8,39 59:47.342,75 06:49.184
2017,22,40 02:30.078,75 03:51.754
2017,0,40 01:10.711,75 06:32.562
2017,7,39 59:29.742,75 12:11.110
2017,10,40 01:34.210,75 01:38.893
2017,15,40 06:40.143,75 01:27.353
2017,17,40 02:10.194,75 01:53.032
2017,16,39 59:28.410,75 05:42.183
2017,11,39 58:23.293,75 08:54.175
2017,1,39 55:18.900,75 08:51.644
2017,20,39 58:02.949,75 14:01.100
2017,6,39 57:11.367,75 09:11.303
2017,23,40 07:55.718,75 00:35.530
2017,13,39 59:13.004,75 14:04.871
2017,9,40 00:10.868,75 07:39.525
2017,2,39 59:14.200,75 08:28.400
2017,15,39 59:36.734,75 09:05.257
2017,1,40 04:02.474,75 09:01.821
2017,9,40 02:22.463,75 02:44.643
2017,5,40 07:00.393,75 00:41.097
2017,11,39 57:36.068,75 10:44.249
2017,18,40 00:03.985,75 07:29.066
2017,21,39 56:18.029,75 11:57.157
2017,22,40 01:34.401,75 07:02.499
2017,21,40 00:10.851,75 09:50.046
2017,6,40 03:39.269,75 09:50.875
